NUM,EXPECTED,model_epoch_01_gs_6146_beam_width_1,# characters,edit distance
1,ずっと先のことだけどね,ずっと開機のことだけどね,11,2
2,おなか減って死にそうだよ,同かってってにそうだよ,12,5
3,水野先生がおっしゃったように,みずの選成が大まったいように,14,10
4,治療法が見つかるかもしれない,調票が見つかるかもしれない,14,3
5,お母さん代わってあげられなくてごめんね,おかさんかわってえがかれらなくてごめんね,19,6
6,お前がそんなことでどうすんだよ,大明がそんなことで同数だそよ,15,7
7,あいつはそんなヤワじゃねえよ,いいつはそんなわわじゃねよよ,14,4
8,あいつが折れそうになったら,いいつがおれそうになったら,13,2
9,弘樹もここしょうゆついてる,年気もここ賞組ついてる,13,6
10,わたしの世界はまるで変わってしまった,私の世界はまるでかわってしまった,18,4
11,後ろから答案用紙集めて,う白から当案用したつめて,11,6
12,今年遊んどかないともう遊べないよ,今年あんどこないともうあよねねいよ,16,6
13,アクアトピアに乗りたい,アアアトピイニのリタイ,11,7
14,女ってよくしゃべんなあと思って,同なってくしゃんんなないもって,15,7
15,カメの餌やりとか金魚の餌やりとか,カメのエアやりとか金を声さりと落か,16,7
16,そんなの誰かに頼めばいいじゃない,そんなの誰かにたのメバイイジャナない,16,9
17,薬の効果やリハビリの方法を,クスリの公加さりはビリの方法を,13,8
18,確認したいと思ってます,カクニンしたいと思ってます,11,4
19,こんなふうに毎日少しずつ,こんな不認まにつくこしずつ,12,6
20,何かができなくなっていくの,何がができなくなっていくの,13,1
21,目を閉じて次の日が来るのがこわい,目をと時手にの方がのが行わい,16,8
22,朝が来て悪くなってるかもしれないと,さかがきてわるくなってるかもしれないと,17,5
23,でもお父さんが聞いたら大変だね,でもお当さんがきいたたた一然だね,15,6
24,だってわたし病気になっちゃったでしょ,だって私業期になっちったってでしょ,18,8
25,だから先輩にも迷惑かけちゃうかも,だから先敗にも名わくかけ調画かも,16,7
26,不公平なことをしようとしてるのは,不稿へなことを使用としてるのは,16,5
27,花火大会ぐらい一緒に行くでしょ,はワイタイキアグライイショシにいくでしょ,15,15
28,できること自分から投げ出すなんて,できること時分からげが出すなんて,16,3
29,神様は不公平だなんて言った,カミマはは不行へだなんていった,13,7
30,浴衣着て髪アップにしたら,組加的を見いっぱにしたら,12,8
31,先輩きっとびっくりするわよ,先敗期とピックリスするを,13,10
32,お母さんの後光が見えてきたような気がする,おかさんの後後が見えてきたようなきがする,20,3
33,わたしは自分を信じて行動すればいい,私は自分を新じて公動すればいい,17,5
34,やっぱ夏は浴衣とスイカと,アッパナタはいかかとすいかと,12,11
35,お友達もみんなついてるし,今もだちもみんなついてる,12,5
36,見つける必要があります,見つける必要があります,11,0
37,夏休みを利用して検査のための,夏や水を利用して検査のための,14,2
38,入院をされてはいかがでしょうか,入院をされてはいかがでしょうか,15,0
39,効果には個人差があるので,公果にはこ人さがあるので,12,3
40,少し長くなるかもしれないから,少しな学なるもしれないから,14,3
41,お前たちもう遅いから寝なさい,お回ったもうおいいからねなさい,14,6
42,周りが目に入らなかったんだよ,まわりがメニはいらなかったんだよ,14,6
43,リハビリを担当する田辺です,リはビリを担当するたなベベです,13,5
44,ショックも考えてみろよ,ショックも考えてみよろ,11,2
45,患者も医師も治療に専念する,感じも試しち両に選念する,13,8
46,すぐお見舞い行かなきゃ,すぐ合みまいいかな約,11,6
47,クラスのみんなに声かける,クラスの民なに声かける,12,2
48,亜湖お母さん夕方病院寄ってくるから,大行山数が月病員もってくるから,17,10
49,遅くなると思うんだけど,お速なると思うんだけど,11,2
50,なるべく早く帰るようにはするけど,なるべくは約かえるようにはするけど,16,4
51,わたしマミと約束あるんだから,私まとく約速あるんだから,14,7
52,今は家族が一致団結して,今はかく学いチャチャン決して,11,10
53,ガトーボヌールのケーキだ,がフォUボUルルのケUキだ,12,7
54,一応人数分買ってあるわよ,一藤人数分かってあるわよ,12,2
55,麻生君に会いたくて来たのにね,そうくグにいたくてきたのにね,14,6
56,一応声はかけたんっすけどね,一藤こけはかけた端セケどう,13,8
57,何か感じが変わっちゃった,何かかじじがかわったちった,12,5
58,今度は捕まんないようにしろよ,今度は使加ないようにしろよよ,14,4
59,途中まで一緒にいたんだけど,と中まで一緒にいたたんだけど,13,2
60,次の日川島で発見されたの,次のにっかわとうで発件されたの,12,7
61,あんまり信用してないらしい,万マシン用してないらしい,13,5
62,友達来てくれてよかったわね,ともだき切てくれてよかったわね,13,5
63,こんなにたくさんもらっちゃった,こんなにたくさんもらったちった,15,2
64,動いてくると思いますけれども,上いてくると思いますけれども,14,1
65,両手を上げて手のひらを上にして,料手を上げてての年を上にして,15,4
66,デートに行けるとなったら,デUトに言けけるとなったら,12,3
67,そんなことないですって,そんなことないですって,11,0
68,今できること頑張るって決めたんだ,今できることが分バルって見めたんだ,16,5
